X,Y,OBJECTID,ID,NAME,ADDRESS,CITY,STATE,ZIP,ZIP4,TELEPHONE,TYPE,STATUS,POPULATION,COUNTY,COUNTYFIPS,COUNTRY,LATITUDE,LONGITUDE,NAICS_CODE,NAICS_DESC,SOURCE,SOURCEDATE,VAL_METHOD,VAL_DATE,WEBSITE,STATE_ID,ALT_NAME,ST_FIPS,OWNER,TTL_STAFF,BEDS,TRAUMA,HELIPAD,GlobalID
-8702411.9,4465945.52,2136,20223922,PIEDMONT GERIATRIC HOSPITAL,5001 E. PATRICK HENRY HIGHWAY,BURKEVILLE,VA,23922,427,(434) 767-4401,PSYCHIATRIC,OPEN,123,NOTTOWAY,51135,USA,37.1923042,-78.175096,622210,PSYCHIATRIC AND SUBSTANCE ABUSE HOSPITALS,http://www.vhi.org,2020/11/26 00:00:00+00,IMAGERY/OTHER,2017/03/09 00:00:00+00,http://www.pgh.dbhds.virginia.gov/,NOT AVAILABLE,NOT AVAILABLE,51,GOVERNMENT - STATE,-999,123,NOT AVAILABLE,N,{B01F8047-046A-469F-ADA5-3A518BB5ACE3}
-8798172.7,4598067.98,2139,19922401,COMMONWEALTH CENTER FOR CHILDREN AND ADOLESCENTS,1355 RICHMOND RD,STAUNTON,VA,22401,9124,(540) 332-2100,PSYCHIATRIC,OPEN,48,STAUNTON,51790,USA,38.1318458,-79.035331,622210,PSYCHIATRIC AND SUBSTANCE ABUSE HOSPITALS,http://www.vhi.org,2020/11/26 00:00:00+00,IMAGERY/OTHER,2017/03/09 00:00:00+00,http://www.ccca.dbhds.virginia.gov/,NOT AVAILABLE,NOT AVAILABLE,51,GOVERNMENT - STATE,-999,48,NOT AVAILABLE,N,{4CC865F8-9391-4ED3-9E6F-BDDCF1184886}
-8614816.2,4527154.46,2549,183223116,BON SECOURS MEMORIAL REGIONAL MEDICAL CENTER,8260 ATLEE ROAD,MECHANICSVILLE,VA,23116,NOT AVAILABLE,(804) 764-6000,GENERAL ACUTE CARE,OPEN,225,HANOVER,51085,USA,37.629048,-77.388211,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://www.vhi.org,2020/11/26 00:00:00+00,IMAGERY,2020/05/05 00:00:00+00,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,51,NOT AVAILABLE,-999,225,NOT AVAILABLE,Y,{3E7F5CAC-431A-4179-A210-D9F71F4F1B6B}
-8630157.2,4527528.64,2728,10323294,HENRICO DOCTORS' HOSPITAL - PARHAM,7700 EAST PARHAM ROAD,RICHMOND,VA,23294,NOT AVAILABLE,(804) 747-5600,GENERAL ACUTE CARE,OPEN,200,HENRICO,51087,USA,37.63171,-77.526021,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://www.vhi.org,2020/11/26 00:00:00+00,IMAGERY,2014/02/10 00:00:00+00,http://parhamdoctors.com/,NOT AVAILABLE,PARHAM DOCTORS HOSPITAL,51,PROPRIETARY,-999,200,NOT AVAILABLE,N,{1CE8F84E-0BC1-4C28-87D6-6EC9A8A79222}
-9152296.7,4383106.14,2734,19824201,RIDGEVIEW PAVILION (BRISTOL REGION),103 NORTH STREET,BRISTOL,VA,24201,NOT AVAILABLE,(423) 844-6000,PSYCHIATRIC,OPEN,28,BRISTOL,51520,USA,36.5971765,-82.21648,622210,PSYCHIATRIC AND SUBSTANCE ABUSE HOSPITALS,http://www.vhi.org,2020/11/26 00:00:00+00,IMAGERY/OTHER,2017/03/07 00:00:00+00,https://www.balladhealth.org/behavioral-health/ridgeview-pavilion,NOT AVAILABLE,NOT AVAILABLE,51,PROPRIETARY,-999,28,NOT AVAILABLE,N,{CFAA9E65-7D12-4603-83EB-5B2BE85B7329}
-8487670.3,4403693.18,2753,11923320,CHESAPEAKE REGIONAL MEDICAL CENTER,736 BATTLEFIELD BOULEVARD NORTH,CHESAPEAKE,VA,23320,NOT AVAILABLE,(757) 312-8120,GENERAL ACUTE CARE,OPEN,310,CHESAPEAKE,51550,USA,36.7455093,-76.246039,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://www.vhi.org,2020/11/26 00:00:00+00,IMAGERY,2014/02/10 00:00:00+00,http://www.chesapeakeregional.com,NOT AVAILABLE,NOT AVAILABLE,51,GOVERNMENT - DISTRICT/AUTHORITY,-999,310,NOT AVAILABLE,Y,{0E5D5A48-73FA-43CC-835B-86AD96FDCE16}
-8740873.7,4585822.42,2755,2422903,UVA KLUGE CHILDRENS REHABILITATION CENTER,2270 IVY ROAD,CHARLOTTESVILLE,VA,22901,NOT AVAILABLE,(434) 924-5161,CHILDREN,CLOSED,19,ALBEMARLE,51003,USA,38.0452665,-78.520604,622110,"CHILDREN'S HOSPITALS, GENERAL",http://www.vdh.virginia.gov/olc/acutecare/hospitals.htm,2016/08/16 00:00:00+00,IMAGERY/OTHER,2014/02/10 00:00:00+00,http://www.healthsystem.virginia.edu/internet/pediatrics/kcrc/,NOT AVAILABLE,NOT AVAILABLE,51,PROPRIETARY,-999,19,NOT AVAILABLE,N,{57588605-5760-47FD-A590-22406C4BDC2A}
-8542835.4,4486249.27,2756,14523188,VERNON M. GEDDY JR. OUTPATIENT CENTER,6601 MOORETOWN ROAD,WILLIAMSBURG,VA,23188,NOT AVAILABLE,(757) 345-4310,GENERAL ACUTE CARE,CLOSED,-999,YORK,51199,USA,37.3374596,-76.741596,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://www.vdh.virginia.gov/olc/acutecare/hospitals.htm,2016/08/16 00:00:00+00,IMAGERY,2014/03/12 00:00:00+00,http://www.sentara.com/hospitalsfacilities/hospitals/williamsburg/williamsburg/pages/geddyoutpatientcenter.aspx,NOT AVAILABLE,NOT AVAILABLE,51,NOT AVAILABLE,-999,-999,NOT AVAILABLE,Y,{F4897CEC-AD8F-466E-9916-2B51BF8F153A}
-8583348.9,4696224.24,2757,2522304,INOVA ALEXANDRIA HOSPITAL,4320 SEMINARY ROAD,ALEXANDRIA,VA,22304,NOT AVAILABLE,(703) 504-3000,GENERAL ACUTE CARE,OPEN,318,ALEXANDRIA,51510,USA,38.8221236,-77.105535,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://www.vhi.org,2020/11/26 00:00:00+00,IMAGERY,2014/02/10 00:00:00+00,http://www.inova.org/patient-and-visitor-information/facilities/inova-alexandria-hospital/index.jsp,NOT AVAILABLE,NOT AVAILABLE,51,NON-PROFIT,-999,318,NOT AVAILABLE,Y,{7EB7F8ED-2D35-41B9-9974-843B6D5FF12B}
-8989859.6,4448613.8,2761,7524301,LEWISGALE HOSPITAL PULASKI,2400 LEE HIGHWAY,PULASKI,VA,24301,NOT AVAILABLE,(540) 994-8100,GENERAL ACUTE CARE,OPEN,135,PULASKI,51155,USA,37.0681752,-80.757283,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://www.vhi.org,2020/11/26 00:00:00+00,IMAGERY,2014/02/10 00:00:00+00,www.pulaskicommunityhospital.com,NOT AVAILABLE,NOT AVAILABLE,51,PROPRIETARY,-999,135,NOT AVAILABLE,Y,{50AA5756-15A4-4E93-B1D6-DF4D1EC2FAD4}
-8491631.1,4425105.49,2762,12623505,BON SECOURS DEPAUL MEDICAL CENTER,150 KINGSLEY LANE,NORFOLK,VA,23505,NOT AVAILABLE,(757) 889-5000,GENERAL ACUTE CARE,OPEN,180,NORFOLK,51710,USA,36.8994847,-76.28162,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://www.vhi.org,2020/11/26 00:00:00+00,IMAGERY,2014/02/10 00:00:00+00,http://www.bonsecourshamptonroads.com/find-a-facility-depaul-medical-center.html,NOT AVAILABLE,NOT AVAILABLE,51,NON-PROFIT,-999,180,NOT AVAILABLE,Y,{5024DAFA-D6D5-46A7-87C6-CBAC5EA0C186}
-8481390.8,4418336.52,2763,13123502,SENTARA LEIGH HOSPITAL,830 KEMPSVILLE ROAD,NORFOLK,VA,23502,NOT AVAILABLE,(757) 261-6000,GENERAL ACUTE CARE,OPEN,250,NORFOLK,51710,USA,36.8508427,-76.189629,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://www.vhi.org,2020/11/26 00:00:00+00,IMAGERY,2014/02/10 00:00:00+00,http://www.sentara.com/hospitalsfacilities/hospitals/leigh/pages/leigh.aspx,NOT AVAILABLE,NOT AVAILABLE,51,NON-PROFIT,-999,250,NOT AVAILABLE,Y,{88B993AC-5DFF-4154-9E33-53E362926D50}
-8705000.7,4711698.73,2764,822630,VALLEY HEALTH WARREN MEMORIAL HOSPITAL,1000 SHENANDOAH AVENUE,FRONT ROYAL,VA,22630,NOT AVAILABLE,(540) 636-0300,GENERAL ACUTE CARE,OPEN,60,WARREN,51187,USA,38.9303431,-78.198351,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://www.vhi.org,2020/11/26 00:00:00+00,IMAGERY,2014/02/10 00:00:00+00,http://www.valleyhealthlink.com/wmh,NOT AVAILABLE,WARREN MEMORIAL HOSPITAL,51,NON-PROFIT,-999,60,NOT AVAILABLE,Y,{45A244CF-94DD-4B8D-915C-18E2B9B80DFE}
-8504023.2,4437168.42,2765,13723607,HAMPTON ROADS SPECIALTY HOSPITAL,245 CHESAPEAKE AVENUE,NEWPORT NEWS,VA,23607,NOT AVAILABLE,(757) 534-5000,LONG TERM CARE,OPEN,25,NEWPORT NEWS,51700,USA,36.9860924,-76.392941,622310,SPECIALTY (EXCEPT PSYCHIATRIC AND SUBSTANCE ABUSE) HOSPITALS,http://www.vhi.org,2020/11/26 00:00:00+00,IMAGERY/OTHER,2014/02/10 00:00:00+00,http://www.hamptonroadsspecialtyhospital.com/,NOT AVAILABLE,NOT AVAILABLE,51,NON-PROFIT,-999,25,NOT AVAILABLE,N,{ADC89331-CFEA-4A76-8038-829A0EA7FF30}
-8907612.6,4477362.44,2768,5024153,SALEM VA MEDICAL CENTER,1970 ROANOKE BOULEVARD,SALEM,VA,24153,NOT AVAILABLE,(540) 982-2460,MILITARY,OPEN,288,SALEM,51775,USA,37.2739604,-80.018445,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://www.vhi.org,2020/11/26 00:00:00+00,IMAGERY,2014/02/10 00:00:00+00,http://www.salem.va.gov/,NOT AVAILABLE,NOT AVAILABLE,51,GOVERNMENT - FEDERAL,-999,288,NOT AVAILABLE,N,{AEDFDFE8-7213-4ABA-9F85-3CEA77DFDB6D}
-8509473.3,4420803.31,2769,15623435,BON SECOURS HEALTH CENTER AT HARBOUR VIEW,5818 HARBOUR VIEW BOULEVARD,SUFFOLK,VA,23435,NOT AVAILABLE,(757) 673-5800,GENERAL ACUTE CARE,OPEN,-999,SUFFOLK,51800,USA,36.8685726,-76.441899,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://www.vhi.org,2020/11/26 00:00:00+00,IMAGERY,2014/02/10 00:00:00+00,http://www.bonsecourshamptonroads.com/find-a-facility-harbour-view-health-center.html,NOT AVAILABLE,NOT AVAILABLE,51,NON-PROFIT,-999,-999,NOT AVAILABLE,N,{2B6CCDF9-1075-4A38-9134-486B4E61E2CA}
-8526467.4,4405782.76,2770,15723434,LAKEVIEW MEDICAL CENTER,2000 MEADE PARKWAY,SUFFOLK,VA,23434,NOT AVAILABLE,(757) 539-0250,GENERAL ACUTE CARE,OPEN,-999,SUFFOLK,51800,USA,36.7605491,-76.59456,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://www.vhi.org,2020/11/26 00:00:00+00,IMAGERY,2014/02/10 00:00:00+00,http://www.lakeviewmed.org/index.cfm/fuseaction/site.physicians/action/dtl/phys/99842375.cfm,NOT AVAILABLE,LAKEVIEW MEDICAL CENTER,51,NOT AVAILABLE,-999,-999,NOT AVAILABLE,N,{D8A64B67-0380-4768-8A0D-0BAAEBCC0332}
-8631455.4,4397591.57,2771,9623847,SOUTHERN VIRGINIA REGIONAL MEDICAL CENTER,727 NORTH MAIN STREET,EMPORIA,VA,23847,NOT AVAILABLE,(434) 348-4400,GENERAL ACUTE CARE,OPEN,80,EMPORIA,51595,USA,36.701576,-77.537683,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://www.vhi.org,2020/11/26 00:00:00+00,IMAGERY/OTHER,2014/02/10 00:00:00+00,http://www.svrmc.com,NOT AVAILABLE,NOT AVAILABLE,51,PROPRIETARY,-999,80,NOT AVAILABLE,Y,{92F691B4-47CF-4B7E-ACCE-511928456BFA}
-8661665.2,4680610.88,2772,1820186,FAUQUIER HOSPITAL,500 HOSPITAL DRIVE,WARRENTON,VA,20186,NOT AVAILABLE,(540) 347-2550,GENERAL ACUTE CARE,OPEN,97,FAUQUIER,51061,USA,38.712766,-77.809062,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://www.vhi.org,2020/11/26 00:00:00+00,IMAGERY,2014/02/10 00:00:00+00,www.fauquierhospital.org,NOT AVAILABLE,NOT AVAILABLE,51,PROPRIETARY,-999,97,NOT AVAILABLE,Y,{1680229E-0EF1-4F67-A872-F925E57B07C9}
-9197824.6,4431368.06,2774,6424273,WELLMONT MOUNTAIN VIEW REGIONAL MEDICAL CENTER,"310 3RD STREET, NE",NORTON,VA,24273,NOT AVAILABLE,(276) 679-9100,GENERAL ACUTE CARE,OPEN,133,NORTON,51720,USA,36.94446,-82.625464,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://www.vhi.org,2020/11/26 00:00:00+00,IMAGERY,2014/02/10 00:00:00+00,http://www.wellmont.org/our-facilities/hospitals-and-medical-centers/mountain-view-regional-medical-center/,NOT AVAILABLE,NOT AVAILABLE,51,NON-PROFIT,-999,133,NOT AVAILABLE,Y,{C591B0E2-5CEA-4A6C-99AF-E5F98CC2DE0A}
-9178186.1,4461527.03,2775,6024228,DICKENSON COMMUNITY HOSPITAL AND GREEN OAK BEHAVIORAL HEALTH,312 HOSPITAL DRIVE,CLINTWOOD,VA,24228,NOT AVAILABLE,(276) 926-0300,GENERAL ACUTE CARE,OPEN,25,DICKENSON,51051,USA,37.1606785,-82.449048,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://www.vhi.org,2020/11/26 00:00:00+00,IMAGERY,2014/02/10 00:00:00+00,http://www.msha.com/dch.cfm?id=1507,NOT AVAILABLE,NOT AVAILABLE,51,NON-PROFIT,-999,25,NOT AVAILABLE,Y,{208D5B40-DC9C-4048-81BB-BFCC8A6D0218}
-8585769.3,4705767.32,2776,2622205,VIRGINIA HOSPITAL CENTER,1701 NORTH GEORGE MASON DRIVE,ARLINGTON,VA,22205,NOT AVAILABLE,(703) 558-5000,GENERAL ACUTE CARE,OPEN,334,ARLINGTON,51013,USA,38.8888818,-77.127278,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://www.vhi.org,2020/11/26 00:00:00+00,IMAGERY,2014/02/10 00:00:00+00,http://www.virginiahospitalcenter.com/,NOT AVAILABLE,NOT AVAILABLE,51,NON-PROFIT,-999,334,NOT AVAILABLE,N,{E0CBB513-17FE-4E7F-834D-4AA3F49F4515}
-8541754.6,4483085.78,2777,147123188,THE PAVILION AT WILLIAMSBURG PLACE,5483 MOORETOWN ROAD,WILLIAMSBURG,VA,23188,NOT AVAILABLE,(757) 565-0106,PSYCHIATRIC,OPEN,57,JAMES CITY,51095,USA,37.3148616,-76.731887,622210,PSYCHIATRIC AND SUBSTANCE ABUSE HOSPITALS,http://www.vhi.org,2020/11/26 00:00:00+00,IMAGERY/OTHER,2015/03/26 00:00:00+00,www.pavilionwp.com,NOT AVAILABLE,NOT AVAILABLE,51,PROPRIETARY,-999,57,NOT AVAILABLE,N,{A2B53CCD-CA0C-46C0-8599-C95E0A90A411}
-8481371.7,4418649.01,2778,19123502,KEMPSVILLE CENTER FOR BEHAVIORAL HEALTH,860 KEMPSVILLE ROAD,NORFOLK,VA,23502,NOT AVAILABLE,(757) 461-4565,PSYCHIATRIC,OPEN,82,NORFOLK,51710,USA,36.8530889,-76.189458,622210,PSYCHIATRIC AND SUBSTANCE ABUSE HOSPITALS,http://www.vhi.org,2020/11/26 00:00:00+00,IMAGERY/OTHER,2017/03/07 00:00:00+00,www.kempsvillecbh.com,NOT AVAILABLE,NOT AVAILABLE,51,PROPRIETARY,-999,82,NOT AVAILABLE,Y,{5C85B9B3-5647-436D-A8A7-F89CC817CF8D}
-8632463.4,4742436.5,2779,19220176,NORTH SPRING BEHAVIORAL HEALTHCARE,42009 VICTORY LANE,LEESBURG,VA,20176,NOT AVAILABLE,(703) 777-0800,PSYCHIATRIC,OPEN,100,LOUDOUN,51107,USA,39.144816,-77.546738,622210,PSYCHIATRIC AND SUBSTANCE ABUSE HOSPITALS,http://www.vhi.org,2020/11/26 00:00:00+00,IMAGERY/OTHER,2017/03/07 00:00:00+00,www.northspringleesburg.com,NOT AVAILABLE,NOT AVAILABLE,51,PROPRIETARY,-999,100,NOT AVAILABLE,N,{E53EEB04-07F7-4CFD-9EDE-2172615281A7}
-8644920.2,4504359.18,2781,8423114,BON SECOURS ST. FRANCIS MEDICAL CENTER,13710 ST. FRANCIS BOULEVARD,MIDLOTHIAN,VA,23114,NOT AVAILABLE,(804) 594-7300,GENERAL ACUTE CARE,OPEN,130,CHESTERFIELD,51041,USA,37.4666946,-77.65864,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://www.vhi.org,2020/11/26 00:00:00+00,IMAGERY,2014/02/10 00:00:00+00,http://richmond.bonsecours.com/find-a-facility-st-francis-medical-center.html,NOT AVAILABLE,NOT AVAILABLE,51,NON-PROFIT,-999,130,NOT AVAILABLE,N,{C2F0CE6C-5867-4E74-8047-8C938B3DDDEC}
-8779913.6,4641755.99,2818,422801,ROCKINGHAM MEMORIAL HOSPITAL,235 CANTRELL AVENUE,HARRISONBURG,VA,22801,NOT AVAILABLE,(540) 689-1000,GENERAL ACUTE CARE,CLOSED,270,HARRISONBURG,51660,USA,38.4398952,-78.871306,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://www.vdh.virginia.gov/olc/acutecare/hospitals.htm,2016/08/16 00:00:00+00,IMAGERY,2014/02/10 00:00:00+00,www.rmhonline.com,NOT AVAILABLE,NOT AVAILABLE,51,NON-PROFIT,-999,270,NOT AVAILABLE,N,{1A480711-30C3-48FA-A8E5-4588838DB5DE}
-8649105.3,4510461.32,3230,125,BON SECOURS ST FRANCIS WATKINS CENTRE,601 WATKINS CENTRE PKWY,MIDLOTHIAN,VA,23113,NOT AVAILABLE,(804) 594-7950,GENERAL ACUTE CARE,OPEN,16,CHESTERFIELD,51041,USA,37.5101902,-77.696235,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://www.vhi.org,2020/11/26 00:00:00+00,IMAGERY,2015/05/23 00:00:00+00,http://richmond.bonsecours.com/find-a-facility-st-francis-watkins-centre.html,NOT AVAILABLE,NOT AVAILABLE,51,NON-PROFIT,-999,16,NOT AVAILABLE,N,{D954AECF-AE11-42EC-B43F-7B25B3A5FD08}
-8984932.4,4485635.96,3259,145724134,CARILION GILES COMMUNITY HOSPITAL,159 HARTLEY WAY,PEARISBURG,VA,24134,NOT AVAILABLE,(540) 921-6000,CRITICAL ACCESS,OPEN,25,GILES,51071,USA,37.3330791,-80.713021,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://www.vhi.org,2020/11/26 00:00:00+00,IMAGERY/OTHER,2015/03/26 00:00:00+00,www.carilionclinic.org/carilion/cgmh,NOT AVAILABLE,NOT AVAILABLE,51,NON-PROFIT,-999,25,NOT AVAILABLE,Y,{468231AF-1140-4A4B-B1F2-7E70C2E624F4}
-8933933.7,4389909.8,3278,8324171,PIONEER COMMUNITY HOSPITAL,18688 JEB STUART HIGHWAY,STUART,VA,24171,NOT AVAILABLE,(276) 694-8680,CRITICAL ACCESS,CLOSED,25,PATRICK,51141,USA,36.6462296,-80.254892,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://www.vhi.org,2016/08/16 00:00:00+00,IMAGERY/OTHER,2019/04/16 00:00:00+00,http://www.phscorporate.com,NOT AVAILABLE,NOT AVAILABLE,51,PROPRIETARY,-999,25,NOT AVAILABLE,N,{CFCEDCF1-4C79-492B-97ED-77F51F9BF2E5}
-8569211.9,4515538.42,3281,8923124,CUMBERLAND HOSPITAL FOR CHILDREN AND ADOLESCENTS,9407 CUMBERLAND ROAD,NEW KENT,VA,23124,NOT AVAILABLE,(804) 966-2240,CHILDREN,OPEN,110,NEW KENT,51127,USA,37.54636,-76.978541,622110,"CHILDREN'S HOSPITALS, GENERAL",http://www.vhi.org,2020/11/26 00:00:00+00,IMAGERY/OTHER,2019/04/16 00:00:00+00,http://cumberlandhospital.com/,NOT AVAILABLE,NOT AVAILABLE,51,PROPRIETARY,-999,110,NOT AVAILABLE,N,{2A6F456D-DA50-4187-8B6B-0CF89EA75858}
